Name,Type,Subtype,Edition,Cost,Legal,Foil,Rarity,Count,Image,ImageName
"Diregraf Captain",Creature,"Zombie Soldier","Dark Ascension",1BK,1,0,Uncommon,1,,diregraf_captain.jpg
"Dirge of Dread",Sorcery,,Onslaught,2K,0,0,Common,1,,dirge_of_dread.jpg
"Disciple of Grace",Creature,Cleric,Onslaught,1W,0,0,Common,1,,disciple_of_grace.jpg
Disentomb,Sorcery,,"M11,M12",K,1,0,Common,5,,disentomb.jpg
Disfigure,Instant,,Zendikar,K,0,0,Common,1,,disfigure.jpg
"Dispense Justice",Instant,,"Scars of Mirrodin",2W,1,0,Uncommon,1,,dispense_justice.jpg
Disperse,Instant,,"Scars of Mirrodin",1B,1,0,Common,1,,disperse.jpg
"Dispersing Orb",Enchantment,,Onslaught,3BB,0,0,Uncommon,1,,dispersing_orb.jpg
"Distant Memories",Sorcery,,"Mirrodin Besieged",2BB,1,0,Rare,1,,distant_memories.jpg
Distress,Sorcery,,M12,KK,1,0,Common,1,,distress.jpg
Divination,Sorcery,,"M10,M12",2B,1,0,Common,3,,divination.jpg
"Divine Favor",Enchantment,Aura,M12,1W,1,0,Common,5,,divine_favor.jpg
"Divine Offering",Instant,,"Mirrodin Besieged",1W,1,1,Common,2,,divine_offering.jpg
"Divine Verdict",Instant,,"M10,M13",3W,1,0,Common,3,,divine_verdict.jpg
"Doom Blade",Instant,,"M10,M11,M12",1K,1,0,Common,8,,doom_blade.jpg
"Doomed Traveler",Creature,"Human Soldier",Innistrad,W,1,0,Common,2,,doomed_traveler.jpg
"Doubling Chant",Sorcery,,M12,5G,1,0,Rare,1,,doubling_chant.jpg
"Dragon Fangs","Enchant Creature",,Scourge,1G,0,0,Common,1,,dragon_fangs.jpg
"Dragon Shadow",Enchantment,Aura,Scourge,1K,0,0,Common,1,,dragon_shadow.jpg
"Dragon Whelp",Creature,Dragon,M10,2RR,0,0,Uncommon,2,,dragon_whelp.jpg
"Dragon's Herald",Creature,"Goblin Shaman","Shards of Alara",R,0,0,Uncommon,1,,dragons_herald.jpg
"Dragonskull Summit",Land,,M12,,1,0,Rare,2,,dragonskull_summit.jpg
"Dream Twist",Instant,,Innistrad,B,1,0,Common,4,,dream_twist.jpg
"Drifting Shade",Creature,Shade,M12,3K,1,0,Common,4,,drifting_shade.jpg
"Dripping Dead",Creature,Zombie,Legions,4KK,0,0,Common,4,,dripping_dead.jpg
"Dross Ripper","Artifact Creature",Hound,"Mirrodin Besieged",4,1,0,Common,3,,dross_ripper.jpg
"Drowned Catacomb",Land,,M12,,1,0,Rare,1,,drowned_catacomb.jpg
"Drowned Rusalka",Creature,Spirit,Guildpact,B,0,0,Uncommon,1,,drowned_rusalka.jpg
"Drudge Spell",Enchantment,,Homelands,KK,0,0,Common,1,,drudge_spell.jpg
"Dry Spell",Sorcery,,Homelands,1K,0,0,Common,1,,dry_spell.jpg
"Due Respect",Instant,,"New Phyrexia",1W,1,1,Uncommon,1,,due_respect.jpg
"Dungrove Elder",Creature,Treefold,M12,2G,1,0,Rare,1,,dungrove_elder.jpg
Duress,Sorcery,,"M10,M11",K,0,0,Common,3,,duress.jpg
"Duskdale Wurm",Creature,Wurm,M11,5GG,0,0,Uncommon,3,,duskdale_wurm.jpg
"Duskhunter Bat",Creature,Bat,M12,1K,1,0,Common,2,,duskhunter_bat.jpg
"Dwarven Blastminer",Creature,Dwarf,Onslaught,1R,0,0,Uncommon,1,,dwarven_blastminer.jpg
"Dwarven Scorcher",Creature,Dwarf,Judgment,R,0,0,Common,1,,dwarven_scorcher.jpg
"Dwarven Trader",Creature,Dwarf,Homelands,R,0,0,Common,1,,dwarven_trader.jpg
"Earsplitting Rats",Creature,Rat,Judgment,3K,0,0,Common,1,,earsplitting_rats.jpg
"Earth Servant",Creature,Elemental,M11,5R,0,0,Uncommon,1,,earth_servant.jpg
"Echo Tracer",Creature,Wizard,Legions,2B,0,0,Common,4,,echo_tracer.jpg
"Eland Umbra",Enchantment,Aura,"Rise of the Eldrazi",1W,0,0,Common,1,,eland_umbra.jpg
"Elder Cathar",Creature,"Human Soldier",Innistrad,2W,1,0,Common,2,,elder_cathar.jpg
Electropotence,Enchantment,,Zendikar,2R,0,0,Rare,1,,electropotence.jpg
"Elgaud Inquisitor",Creature,"Human Cleric","Dark Ascension",3W,1,0,Common,2,,elgaud_inquisitor.jpg
"Elite Vanguard",Creature,"Human Soldier","M10,M12",W,1,0,Uncommon,3,,elite_vanguard.jpg
"Elven Riders",Creature,Elf,Onslaught,3GG,0,0,Uncommon,1,,elven_riders.jpg
"Elvish Guidance","Enchant Land",,Onslaught,2G,0,0,Common,1,,elvish_guidance.jpg
"Elvish Scrapper",Creature,Elf,Onslaught,G,0,0,Uncommon,1,,elvish_scrapper.jpg
"Elvish Soultiller",Creature,"Elf Mutant",Legions,3GG,0,0,Rare,1,,elvish_soultiller.jpg
"Elvish Visionary",Creature,"Elf Shaman","M10,M13",1G,1,0,Common,3,,elvish_visionary.jpg
"Embalmed Brawler",Creature,Zombie,Legions,2K,0,0,Common,2,,embalmed_brawler.jpg
"Enatu Golem","Artifact Creature",Golem,"Rise of the Eldrazi",6,0,0,Uncommon,1,,enatu_golem.jpg
"Enormous Baloth",Creature,Beast,M10,6G,0,0,Uncommon,1,,enormous_baloth.jpg
"Enslaved Dwarf",Creature,Dwarf,Torment,R,0,0,Common,2,,enslaved_dwarf.jpg
"Entangling Vines",Enchantment,Aura,M10,3G,0,0,Common,1,,entangling_vines.jpg
"Erdwal Ripper",Creature,Vampire,"Dark Ascension",1RR,1,0,Common,1,,erdwal_ripper.jpg
"Essence Feed",Sorcery,,"Rise of the Eldrazi",5K,0,0,Common,1,,essence_feed.jpg
"Essence of the Wild",Creature,Avatar,Innistrad,3GGG,1,0,"Mythic Rare",1,,essence_of_the_wild.jpg
"Essence Scatter",Instant,,"M10,DOP",1B,0,0,Common,4,,essence_scatter.jpg
Evacuation,Instant,,DOP,3BB,0,0,Rare,1,,evacuation.jpg
Evaporate,Sorcery,,Homelands,2R,0,0,Common,1,,evaporate.jpg
"Every Last Vestige Shall Rot",Scheme,,Archenemy,,0,0,Common,2,,every_last_vestige_shall_rot.jpg
"Evil Comes to Fruition",Scheme,,Archenemy,,0,0,Common,1,,evil_comes_to_fruition.jpg
"Evolving Wilds",Land,,M13,,1,0,Common,5,,evolving_wilds.jpg
Excommunicate,Sorcery,,M11,W,0,0,Common,1,,excommunicate.jpg
"Executioner's Hood",Artifact,Equipment,"Dark Ascension",2,1,0,Common,2,,executioners_hood.jpg
"Exotic Curse",Enchantment,Aura,Invasion,2K,0,0,Common,2,,exotic_curse.jpg
"Exotic Disease",Sorcery,,Planeshift,4K,0,0,Uncommon,2,,exotic_disease.jpg
"Explosive Revelation",Sorcery,,"Rise of the Eldrazi",3RR,0,0,Uncommon,1,,explosive_revelation.jpg
"Ezuri's Archers",Creature,"Elf Archer","Scars of Mirrodin",G,1,0,Common,2,,ezuris_archers.jpg
"Faceless Butcher",Creature,"Nightmare Horror",Torment,2KK,0,0,Common,2,,faceless_butcher.jpg
"Faithless Looting",Sorcery,,"Dark Ascension",R,1,0,Common,1,,faithless_looting.jpg
"Falkenrath Aristocrat",Creature,Vampire,"Dark Ascension",2KR,1,0,"Mythic Rare",1,,falkenrath_aristocrat.jpg
"Falkenrath Torturer",Creature,Vampire,"Dark Ascension",2K,1,0,Common,4,,falkenrath_torturer.jpg
"Fallen Cleric",Creature,"Zombie Cleric",Onslaught,4K,0,0,Common,1,,fallen_cleric.jpg
"Fangren Marauder",Creature,Beast,"Mirrodin Besieged",5G,1,0,Common,1,,fangren_marauder.jpg
"Farbog Boneflinger",Creature,Zombie,"Dark Ascension",4K,1,0,Uncommon,2,,farbog_boneflinger.jpg
Farseek,Sorcery,,M13,1G,1,0,Common,2,,farseek.jpg
"Farsight Mask",Artifact,,"Planechase 2012",5,0,0,Uncommon,1,,farsight_mask.jpg
"Favor of the Woods",Enchantment,Aura,"Dark Ascension",2G,1,0,Common,1,,favor_of_the_woods.jpg
"Feast of Blood",Sorcery,,Zendikar,1K,0,0,Uncommon,1,,feast_of_blood.jpg
"Feast of the Unicorn",Enchantment,Aura,Homelands,3K,0,0,Common,2,,feast_of_the_unicorn.jpg
"Feeding Frenzy",Instant,,Onslaught,2K,0,0,Uncommon,1,,feeding_frenzy.jpg
"Feral Hydra",Creature,"Hydra Beast",Archenemy,XG,0,0,Rare,1,,feral_hydra.jpg
Ferrovore,Creature,Beast,"Scars of Mirrodin",2R,1,0,Common,1,,ferrovore.jpg
Fertilid,Creature,Elemental,Archenemy,2G,0,0,Common,2,,fertilid.jpg
"Fervent Cathar",Creature,"Human Knight","Avacyn Restored",2R,1,0,Common,1,,fervent_cathar.jpg
"Festering Goblin",Creature,"Zombie Goblin",Onslaught,K,0,0,Common,1,,festering_goblin.jpg
"Fiend Hunter",Creature,"Human Cleric",Innistrad,1WW,1,0,Uncommon,1,,fiend_hunter.jpg
"Fierce Empath",Creature,Elf,Scourge,2G,0,0,Common,3,,fierce_empath.jpg
"Fiery Hellhound",Creature,"Elemental Hellhound","M10,M12",1RR,1,0,Common,5,,fiery_hellhound.jpg
"Final Punishment",Sorcery,,Scourge,3KK,0,0,Rare,1,,final_punishment.jpg
"Fire Elemental",Creature,Elemental,"Seventh Edition",3RR,0,0,Uncommon,1,,fire_elemental.jpg
Fireball,Sorcery,,"M11,M12",XR,1,0,Uncommon,3,,fireball.jpg
Firebreathing,Enchantment,Aura,"M10,M12",R,1,0,Common,6,,firebreathing.jpg
"Fires of Undeath",Instant,,"Dark Ascension",2R,1,0,Common,3,,fires_of_undeath.jpg
"Flameblast Dragon",Creature,Dragon,M12,4RR,1,0,Rare,3,,flameblast_dragon.jpg
"Flameborn Hellion",Creature,Hellion,"Scars of Mirrodin",5R,1,0,Common,2,,flameborn_hellion.jpg
"Flash Foliage",Instant,,Dissension,2G,0,0,Uncommon,2,,flash_foliage.jpg
Flashfreeze,Instant,,M12,1B,1,0,Uncommon,5,,flashfreeze.jpg
"Flayer Husk",Artifact,Equipment,"Mirrodin Besieged",1,1,0,Common,6,,flayer_husk.jpg
"Fledgling Griffin",Creature,Griffin,Worldwake,1W,0,0,Common,1,,fledgling_griffin.jpg
"Fleeting Distraction",Instant,,"Rise of the Eldrazi",B,0,0,Common,2,,fleeting_distraction.jpg
Flensermite,Creature,Gremlin,"Mirrodin Besieged",1K,1,0,Common,4,,flensermite.jpg
"Flesh-Eater Imp",Creature,Imp,"Mirrodin Besieged",3K,1,0,Uncommon,1,,flesh-eater_imp.jpg
Flight,Enchantment,Aura,M12,B,1,0,Common,4,,flight.jpg
Fling,Instant,,"M11,M12",1R,1,0,Common,6,,fling.jpg
"Flinthoof Boar",Creature,Boar,M13,1G,1,0,Uncommon,2,,flinthoof_boar.jpg
Fog,Instant,,"Archenemy,M12",G,1,0,Common,3,,fog.jpg
"Folk of An-Havva",Creature,"Folk of An-Havva",Homelands,G,0,0,Common,1,,folk_of_an-havva.jpg
"Forbidden Alchemy",Instant,,Innistrad,2B,1,1,Common,6,,forbidden_alchemy.jpg
Foresee,Sorcery,,M11,3B,0,0,Common,2,,foresee.jpg
Forest,"Basic Land",Forest,"M12,Avacyn Restored,M13",,1,1,Common,205,,forest.jpg
"Forge Devil",Creature,Devil,"Dark Ascension",R,1,0,Common,1,,forge_devil.jpg
"Forgotten Ancient",Creature,Elemental,Archenemy,3G,0,0,Rare,1,,forgotten_ancient.jpg
"Fortress Crab",Creature,Crab,Innistrad,3B,1,0,Common,5,,fortress_crab.jpg
"Fractured Powerstone",Artifact,,"Planechase 2012",2,0,0,Common,1,,fractured_powerstone.jpg
"Frantic Salvage",Instant,,"Mirrodin Besieged",3W,1,0,Common,3,,frantic_salvage.jpg
"Frightful Delusion",Instant,,Innistrad,2B,1,0,Common,2,,frightful_delusion.jpg
"Frightshroud Courier",Creature,Zombie,Onslaught,2K,0,0,Uncommon,2,,frightshroud_courier.jpg
"Frontline Strategist",Creature,Soldier,Scourge,W,0,0,Common,3,,frontline_strategist.jpg
"Frost Breath",Instant,,M12,2B,1,0,Common,4,,frost_breath.jpg
"Frost Titan",Creature,Giant,M12,4BB,1,1,"Mythic Rare",2,,frost_titan.jpg
"Fuel for the Cause",Instant,,"Mirrodin Besieged",2BB,1,0,Common,2,,fuel_for_the_cause.jpg
"Fugitive Wizard",Creature,Wizard,Legions,B,0,0,Common,1,,fugitive_wizard.jpg
"Fulgent Distraction",Instant,,"Scars of Mirrodin",2W,1,0,Common,1,,fulgent_distraction.jpg
"Full Moon's Rise",Enchantment,,Innistrad,1G,1,0,Uncommon,1,,full_moons_rise.jpg
"Funeral Pyre",Instant,,Judgment,W,0,0,Common,1,,funeral_pyre.jpg
"Furyborn Hellkite",Creature,Dragon,M12,4RRR,1,0,"Mythic Rare",1,,furyborn_hellkite.jpg
"Gaea's Might",Instant,,Planeshift,GWB,0,0,Common,1,,gaeas_might.jpg
"Gallows Warden",Creature,Spiri,Innistrad,4W,1,0,Uncommon,1,,gallows_warden.jpg
"Galvanic Juggernaut","Artifact Creature",Juggernaut,Innistrad,4,1,0,Uncommon,1,,galvanic_juggernaut.jpg
"Garruk Relentless",Planeswalker,Garuuk,Innistrad,3G,1,0,"Mythic Rare",1,,garruk_relentless.jpg
"Garruk, Primal Hunter",Planeswalker,Garruk,M12,2GGG,1,0,"Mythic Rare",1,,garruk_primal_hunter.jpg
"Garruk's Companion",Creature,Beast,M12,GG,1,0,Common,5,,garruks_companion.jpg
"Garruk's Horde",Creature,Beast,M12,5GG,1,0,Rare,1,,garruks_horde.jpg
"Garruk's Packleader",Creature,Beast,M11,4G,0,0,Uncommon,1,,garruks_packleader.jpg
"Gatekeeper of Malakir",Creature,"Vampire Warrior",Zendikar,KK,0,0,Uncommon,1,,gatekeeper_of_malakir.jpg
"Gather the Townsfolk",Sorcery,,"Dark Ascension",1W,1,0,Common,3,,gather_the_townsfolk.jpg
"Gavony Ironwright",Creature,"Human Soldier","Dark Ascension",2W,1,0,Uncommon,1,,gavony_ironwright.jpg
Geistflame,Instant,,Innistrad,R,1,0,Common,2,,geistflame.jpg
"Gem of Becoming",Artifact,,M13,3,1,0,Uncommon,2,,gem_of_becoming.jpg
"Gempalm Avenger",Creature,Soldier,Legions,5W,0,0,Common,1,,gempalm_avenger.jpg
"Gempalm Polluter",Creature,Zombie,Legions,5K,0,0,Common,5,,gempalm_polluter.jpg
"Gempalm Strider",Creature,Elf,Legions,1G,0,0,Uncommon,2,,gempalm_strider.jpg
Geosurge,Sorcery,,"New Phyrexia",RRRR,1,0,Uncommon,1,,geosurge.jpg
"Geth's Verdict",Instant,,"New Phyrexia",KK,1,0,Common,1,,geths_verdict.jpg
"Ghalma's Warden",Creature,"Elephant Soldier","Scars of Mirrodin",3W,1,0,Common,2,,ghalmas_warden.jpg
"Ghastly Remains",Creature,Zombie,Legions,KKK,0,0,Rare,1,,ghastly_remains.jpg
"Ghostly Flicker",Instant,,"Avacyn Restored",2B,1,0,Common,1,,ghostly_flicker.jpg
"Ghostly Possession",Enchantment,Aura,Innistrad,2W,1,0,Common,1,,ghostly_possession.jpg
"Ghostly Wings",Enchantment,Aura,Torment,1B,0,0,Common,1,,ghostly_wings.jpg
"Ghoulcaller's Bell",Artifact,,Innistrad,1,1,0,Common,3,,ghoulcallers_bell.jpg
"Ghoulcaller's Chant",Sorcery,,Innistrad,K,1,0,Common,2,,ghoulcallers_chant.jpg
Ghoulraiser,Creature,Zombie,Innistrad,1KK,1,0,Common,3,,ghoulraiser.jpg
Ghoultree,Creature,"Zombie Treefolk","Dark Ascension",7G,1,1,Rare,1,,ghoultree.jpg
"Giant Growth",Instant,,"M10, M11",G,0,0,Common,3,,giant_growth.jpg
"Giant Scorpion",Creature,Scorpion,Zendikar,2K,0,0,Common,1,,giant_scorpion.jpg
"Giant Spider",Creature,Spider,"M10,M11,M12",3G,1,0,Common,13,,giant_spider.jpg
"Gideon's Lawkeeper",Creature,"Human Soldier",M12,W,1,0,Common,2,,gideons_lawkeeper.jpg
Gigantomancer,Creature,"Human Shaman","Rise of the Eldrazi",7G,0,0,Rare,1,,gigantomancer.jpg
"Gilded Lotus",Artifact,,M13,5,1,0,Rare,1,,gilded_lotus.jpg
"Gisela, Blade of Goldnight","Legendary Creature",Angel,"Avacyn Restored",4RWW,1,0,"Mythic Rare",1,,gisela_blade_of_goldnight.jpg
"Gitaxian Probe",Sorcery,,"New Phyrexia",Bx,1,0,Common,1,,gitaxian_probe.jpg
"Glacial Fortress",Land,,M12,,1,0,Rare,1,,glacial_fortress.jpg
"Gladecover Scout",Creature,"Elf Scout",M12,G,1,0,Common,7,,gladecover_scout.jpg
"Glassdust Hulk","Artifact Creature",Golem,"Alara Reborn",3WB,0,0,Common,1,,glassdust_hulk.jpg
"Glaze Fiend","Artifact Creature",Illusion,"Shards of Alara",1K,0,0,Common,1,,glaze_fiend.jpg
"Gleeful Sabotage",Sorcery,,Archenemy,1G,0,0,Common,1,,gleeful_sabotage.jpg
Gleemax,"Legendary Artifact",,Unhinged,"1,000,000",0,0,Rare,1,,gleemax.jpg
"Glen Elendra Liege",Creature,"Faerie Knight","Planechase 2012",1(B|K)(B|K)(B|K),0,0,Rare,1,,glen_elendra_liege.jpg
"Glimmerpoint Stag",Creature,Elk,"Scars of Mirrodin",2WW,1,0,Uncommon,1,,glimmerpoint_stag.jpg
"Glint Hawk",Creature,Bird,"Scars of Mirrodin",W,1,0,Common,2,,glint_hawk.jpg
"Glint Hawk Idol",Artifact,,"Scars of Mirrodin",2,1,0,Common,1,,glint_hawk_idol.jpg
"Glissa, the Traitor","Legendary Creature","Zombie Elf","Mirrodin Besieged",KGG,1,0,"Mythic Rare",1,,glissa_the_traitor.jpg
"Glissa's Courier",Creature,Horror,"Mirrodin Besieged",1GG,1,0,Common,4,,glissas_courier.jpg
"Gloom Surgeon",Creature,Spirit,"Avacyn Restored",1K,1,0,Rare,1,,gloom_surgeon.jpg
Gloomhunter,Creature,Bat,"Rise of the Eldrazi",2K,0,0,Common,1,,gloomhunter.jpg
Gloomwidow,Creature,Spider,"Avacyn Restored",1G,1,0,Uncommon,1,,gloomwidow.jpg
"Glorious Charge",Instant,,"M10,M13",1W,1,0,Common,3,,glorious_charge.jpg
"Glory Seeker",Creature,Soldier,Onslaught,1W,0,1,Common,1,,glory_seeker.jpg
"Glowering Rogon",Creature,Beast,Legions,5G,0,0,Common,1,,glowering_rogon.jpg
Glowrider,Creature,"Cleric Soldier",Legions,2W,0,0,Rare,1,,glowrider.jpg
"Gluttonous Zombie",Creature,Zombie,Onslaught,4K,0,0,Uncommon,1,,gluttonous_zombie.jpg
Gnathosaur,Creature,Lizard,"Mirrodin Besieged",4RR,1,0,Common,3,,gnathosaur.jpg
"Gnaw to the Bone",Instant,,Innistrad,2G,1,0,Common,5,,gnaw_to_the_bone.jpg
"Go for the Throat",Instant,,"Mirrodin Besieged",1K,1,0,Uncommon,2,,go_for_the_throat.jpg
"Goblin Arsonist",Creature,"Goblin Shaman","Rise of the Eldrazi,M12,M13",R,1,0,Common,4,,goblin_arsonist.jpg
"Goblin Assassin",Creature,"Goblin Assassin",Legions,3RR,0,0,Uncommon,1,,goblin_assassin.jpg
"Goblin Balloon Brigade",Creature,"Goblin Warrior",M11,R,0,0,Common,2,,goblin_balloon_brigade.jpg
"Goblin Bangchuckers",Creature,"Goblin Warrior",M12,2RR,1,0,Uncommon,1,,goblin_bangchuckers.jpg
"Goblin Chariot",Creature,Goblin,"Seventh Edition",2R,0,0,Common,2,,goblin_chariot.jpg
"Goblin Digging Team",Creature,Goblin,"Seventh Edition",R,0,0,Common,2,,goblin_digging_team.jpg
"Goblin Dynamo",Creature,"Goblin Mutant",Legions,5RR,0,0,Uncommon,1,,goblin_dynamo.jpg
"Goblin Firebug",Creature,Goblin,Legions,1R,0,0,Common,1,,goblin_firebug.jpg
"Goblin Fireslinger",Creature,"Goblin Warrior",M12,R,1,0,Common,4,,goblin_fireslinger.jpg
"Goblin Gardener",Creature,Goblin,"Seventh Edition",3R,0,0,Common,2,,goblin_gardener.jpg
"Goblin Glider",Creature,Goblin,"Seventh Edition",1R,0,0,Uncommon,1,,goblin_glider.jpg
"Goblin Grenade",Sorcery,,M12,R,1,0,Uncommon,1,,goblin_grenade.jpg
"Goblin King",Creature,Lord,"Seventh Edition",1RR,0,0,Rare,1,,goblin_king.jpg
"Goblin Matron",Creature,Goblin,"Seventh Edition",2R,0,0,Uncommon,1,,goblin_matron.jpg
"Goblin Piker",Creature,"Goblin Warrior","M11,M12",1R,1,0,Common,2,,goblin_piker.jpg
"Goblin Raider",Creature,Goblin,"Seventh Edition",1R,0,0,Common,2,,goblin_raider.jpg
"Goblin Roughrider",Creature,"Goblin Knight",Worldwake,2R,0,0,Common,1,,goblin_roughrider.jpg
"Goblin Shortcutter",Creature,"Goblin Scout",Zendikar,1R,0,0,Common,1,,goblin_shortcutter.jpg
"Goblin Taskmaster",Creature,Goblin,Onslaught,R,0,0,Common,1,,goblin_taskmaster.jpg
"Goblin Tunneler",Creature,"Goblin Rogue","M11,M12",1R,1,0,Common,4,,goblin_tunneler.jpg
"Goblin War Paint",Enchantment,Aura,M12,1R,1,0,Common,1,,goblin_war_paint.jpg
"Goblin Wardriver",Creature,"Goblin Warrior","Mirrodin Besieged",RR,1,0,Uncommon,1,,goblin_wardriver.jpg
"Gold Myr","Artifact Creature",Myr,"Scars of Mirrodin",2,1,0,Common,3,,gold_myr.jpg
"Goldenglow Moth",Creature,Insect,M11,W,0,0,Common,2,,goldenglow_moth.jpg
"Goldnight Commander",Creature,"Human Cleric Soldier","Avacyn Restored",3W,1,0,Uncommon,1,,goldnight_commander.jpg
"Goldnight Redeemer",Creature,Angel,"Avacyn Restored",4WW,1,0,Uncommon,1,,goldnight_redeemer.jpg
"Golem Foundry",Artifact,,"Scars of Mirrodin",3,1,0,Common,1,,golem_foundry.jpg
"Gorehorn Minotaurs",Creature,"Minotaur Warrior",M12,2RR,1,0,Common,1,,gorehorn_minotaurs.jpg
"Grasp of Darkness",Instant,,"Scars of Mirrodin",KK,1,0,Common,2,,grasp_of_darkness.jpg
"Grasp of Phantoms",Sorcery,,Innistrad,3B,1,0,Uncommon,3,,grasp_of_phantoms.jpg
"Grassland Crusader",Creature,"Cleric Soldier",Onslaught,5W,0,0,Common,1,,grassland_crusader.jpg
"Gratuitous Violence",Enchantment,,Onslaught,2RRR,0,0,Rare,1,,gratuitous_violence.jpg
"Grave Bramble",Creature,Plant,Innistrad,1GG,1,0,Common,2,,grave_bramble.jpg
"Graveborn Muse",Creature,"Zombie Spirit",Legions,2KK,0,0,Rare,1,,graveborn_muse.jpg
Gravecrawler,Creature,Zombie,"Dark Ascension",K,1,0,Rare,1,,gravecrawler.jpg
Gravedigger,Creature,Zombie,"M10,M12",3K,1,0,Common,2,,gravedigger.jpg
Gravegouger,Creature,"Nightmare Horror",Torment,2K,0,0,Common,1,,gravegouger.jpg
Gravepurge,Instant,,"Dark Ascension",2K,1,0,Common,2,,gravepurge.jpg
"Graveyard Shovel",Artifact,,Innistrad,2,1,0,Uncommon,1,,graveyard_shovel.jpg
"Graypelt Refuge",Land,,Archenemy,,0,0,Uncommon,1,,graypelt_refuge.jpg
"Greater Basilisk",Creature,Basilisk,"M11,M12",3GG,1,0,Common,5,,greater_basilisk.jpg
"Greater Werewolf",Creature,Lycanthrope,Homelands,4K,0,0,Common,2,,greater_werewolf.jpg
Greatsword,Artifact,Equipment,M12,3,1,0,Uncommon,3,,greatsword.jpg
"Green Sun's Zenith",Sorcery,,"Mirrodin Besieged",XG,1,0,Rare,1,,green_suns_zenith.jpg
"Greenweaver Druid",Creature,"Elf Druid",Zendikar,2G,0,0,Uncommon,2,,greenweaver_druid.jpg
"Griffin Rider",Creature,"Human Knight",M12,1W,1,0,Common,6,,griffin_rider.jpg
"Griffin Sentinel",Creature,Griffin,"M10,M12",2W,1,0,Common,7,,griffin_sentinel.jpg
"Grim Affliction",Instant,,"New Phyrexia",2K,1,0,Common,1,,grim_affliction.jpg
"Grim Discovery",Sorcery,,Zendikar,1K,0,0,Common,1,,grim_discovery.jpg
"Grim Flowering",Sorcery,,"Dark Ascension",5G,1,0,Uncommon,2,,grim_flowering.jpg
"Grixis Panorama",Land,,"Shards of Alara",,0,0,Common,1,,grixis_panorama.jpg
"Gruesome Discovery",Sorcery,,"Dark Ascension",2KK,1,0,Common,2,,gruesome_discovery.jpg
"Guard Duty",Enchantment,Aura,"Rise of the Eldrazi",W,0,0,Common,1,,guard_duty.jpg
"Guard Gomazoa",Creature,Jellyfish,"Rise of the Eldrazi",2B,0,0,Uncommon,1,,guard_gomazoa.jpg
"Guardians of Akrasa",Creature,"Human Soldier","Shards of Alara",2W,0,0,Common,1,,guardians_of_akrasa.jpg
"Guardians' Pledge",Instant,,M12,1WW,1,0,Common,2,,guardians_pledge.jpg
Gust-Skimmer,"Artifact Creature",Insect,"Mirrodin Besieged",2,1,0,Common,4,,gust-skimmer.jpg
"Gustcloak Runner",Creature,Soldier,Onslaught,W,0,0,Common,1,,gustcloak_runner.jpg
"Gut Shot",Instant,,"New Phyrexia",R,1,0,Uncommon,1,,gut_shot.jpg
"Gutter Grime",Enchantment,,Innistrad,4G,1,0,Rare,1,,gutter_grime.jpg
"Hamlet Captain",Creature,"Human Warrior",Innistrad,1G,1,0,Uncommon,1,,hamlet_captain.jpg
"Hanweir Lancer",Creature,"Human Knight","Avacyn Restored",2R,1,0,Common,1,,hanweir_lancer.jpg
"Hanweir Watchkeep",Creature,"Human Warrior Werewolf",Innistrad,2R,1,0,Uncommon,2,,hanweir_watchkeep.jpg
"Harbor Serpent",Creature,Serpent,"M11,M12",4BB,1,0,Common,4,,harbor_serpent.jpg
"Harm's Way",Instant,,M10,W,0,0,Uncommon,1,,harms_way.jpg
Harmonize,Sorcery,,Archenemy,2GG,0,0,Uncommon,1,,harmonize.jpg
Harrow,Instant,,"Invasion,Zendikar",2G,0,0,Common,4,,harrow.jpg
"Harrowing Journey",Sorcery,,"Dark Ascension",4K,1,0,Uncommon,2,,harrowing_journey.jpg
"Harvest Pyre",Instant,,Innistrad,1R,1,0,Common,1,,harvest_pyre.jpg
"Haunted Fengraf",Land,,"Dark Ascension",,1,0,Common,3,,haunted_fengraf.jpg
"Havengul Runebinder",Creature,"Human Wizard","Dark Ascension",2BB,1,0,Rare,1,,havengul_runebinder.jpg
Headhunter,Creature,Cleric,Onslaught,1K,0,0,Uncommon,1,,headhunter.jpg
"Headless Skaab",Creature,"Zombie Warrior","Dark Ascension",2B,1,0,Common,2,,headless_skaab.jpg
"Heat Ray",Instant,,"Rise of the Eldrazi",XR,0,0,Common,1,,heat_ray.jpg
"Heavy Mattock",Artifact,Equipment,"Dark Ascension",3,1,0,Common,1,,heavy_mattock.jpg
"Hedron Crab",Creature,Crab,Zendikar,B,0,0,Uncommon,1,,hedron_crab.jpg
"Helium Squirter",Creature,"Beast Mutant",Dissension,4B,0,0,Common,2,,helium_squirter.jpg
"Hellkite Igniter",Creature,Dragon,"Mirrodin Besieged",5RR,1,0,Rare,1,,hellkite_igniter.jpg
Helvault,"Legendary Artifact",,"Dark Ascension",3,1,0,"Mythic Rare",1,,helvault.jpg
"Heroes' Reunion",Instant,,Archenemy,GW,0,0,Uncommon,1,,heroes_reunion.jpg
"Hexplate Golem","Artifact Creature",Golem,"Mirrodin Besieged",7,1,0,Common,3,,hexplate_golem.jpg
"Hideous Visage",Sorcery,,M12,2K,1,0,Common,1,,hideous_visage.jpg
"Highborn Ghoul",Creature,Zombie,"Dark Ascension",KK,1,0,Common,3,,highborn_ghoul.jpg
